index,true_label,model_prob,local_fidelity_r2
73394,0,0.05310757830739021,0.5103851989074574
73716,0,0.09402775019407272,0.6288932712843042
75885,1,0.010323459282517433,0.6088417647812114
77077,1,0.9894235730171204,0.5571031766388954
77313,1,0.6553642153739929,0.6399210080829618
78230,1,0.822348952293396,0.6470936696776944
80502,0,0.7480770349502563,0.6734703061317913
81390,0,0.07029429823160172,0.5942890663735407
82463,0,0.03745657950639725,0.5032027882174488
83555,1,0.3789220452308655,0.707955510432557
83916,1,0.6406236290931702,0.650311424944604
84249,0,0.004224294330924749,0.7415260793154811
85187,0,0.04922967776656151,0.48088218728763277
85299,0,0.006684214808046818,0.5417885774168294
86837,0,0.0017038526711985469,0.5999869336375386
87835,0,0.19660457968711853,0.7199891802769927
87902,0,0.023212330415844917,0.638779297782498
88943,1,0.018476072698831558,0.6187845763026185
89149,1,0.6138890385627747,0.6644688661588487
90102,1,0.27970340847969055,0.7404829663520758
90625,0,0.007232113275676966,0.48794889070696934
91738,0,0.04532762989401817,0.5956264804584723
92350,1,0.266726016998291,0.4335486880344993
92661,0,0.004214420914649963,0.5711332788558762
93228,0,0.008048465475440025,0.61407137300997
93292,1,0.12457087635993958,0.7036841959641861
94448,0,0.6757969856262207,0.6864593783349628
95926,1,0.05222636088728905,0.6527652087103454
97989,1,0.8441037535667419,0.6432544782082295
98736,0,0.299140602350235,0.5163379113911055
99150,1,0.9896982312202454,0.5733310617258861
99769,1,0.3780573308467865,0.6712527257840337
100546,1,0.21529719233512878,0.6838676629882274
101082,1,0.8418201208114624,0.6894003446013512
101526,1,0.38726115226745605,0.3405150063718452
101738,1,0.8837422728538513,0.6409709563255443
102041,1,0.05991283431649208,0.4644175903981702
102488,0,0.0585126057267189,0.5997699079407983
102629,0,0.20589159429073334,0.4460570359048054
102689,1,0.6453121900558472,0.6102914526055536
104241,1,0.40694206953048706,0.5037161983562168
104269,0,0.05514928698539734,0.6694660965586392
105586,1,0.6395371556282043,0.6436695553938335
105881,0,0.07400863617658615,0.7329584586985136
107292,0,0.0049918219447135925,0.7146247019254746
108737,0,0.06652551144361496,0.6821649582805387
109018,0,0.0943177118897438,0.5846761903541497
109049,0,0.0335177443921566,0.6087999942352246
109090,0,0.0030898430850356817,0.5404215315602974
109468,0,0.04782804474234581,0.6098661922960538
109655,0,0.45959287881851196,0.4207892767917272
109880,1,0.5315454602241516,0.6074324752703435
110270,1,0.9325963258743286,0.5747772672643644
111111,0,0.033334843814373016,0.6520333993382632
111312,1,0.35526323318481445,0.5558017039668212
112047,0,0.10458654165267944,0.685956429924898
